T20250716094638	仕様書確認ボット			実行中	原口	原口陽一郎	7/16	10/31				
		緊急バグ修正		予定	開発チーム	-	2025/10/14	2025/10/28		-	🔧発見された問題の即時対応	
		検索品質評価		予定	開発チーム	QA	2025/10/22	2025/10/28		-	📊実クエリでの検索精度測定	
	Stage3: Phase 0A - 基盤強化				計画中	開発チーム	Tech Lead	2025/10/28	2025/12/20		phase-0A-implementation-plan.md	⭐基盤強化優先戦略
	1. Phase 0A-1: ラベルシステム拡張			計画中	開発チーム	-	2025/10/28	2025/11/11		-	📋構造化ラベル・自動分類	
		StructuredLabelスキーマ設計		予定	開発チーム	-	2025/10/28	2025/10/30		-	📋category/domain/feature/priority定義	
		自動ラベル付けFlow実装		予定	開発チーム	AI	2025/10/31	2025/11/05		-	🤖Genkit Flow+gemini-1.5-flash	
		データモデル更新		予定	開発チーム	-	2025/11/06	2025/11/08		-	📊Firestore・LanceDBスキーマ拡張	
		LabelManagerV2実装		予定	開発チーム	-	2025/11/09	2025/11/10		-	🔧新ラベル管理ライブラリ	
		ラベル移行スクリプト		予定	開発チーム	-	2025/11/11	2025/11/11		-	🔄旧ラベル→新ラベル一括移行	
	2. Phase 0A-2: Knowledge Graph構築			計画中	開発チーム	-	2025/11/12	2025/12/10		-	🕸️関係性グラフ・エンティティ抽出	
		KGスキーマ設計		予定	開発チーム	-	2025/11/12	2025/11/14		-	📋Node/Edge型定義	
		KG構築プロセス実装		予定	開発チーム	-	2025/11/15	2025/11/22		-	🔧Pub/Sub Cloud Functions	
		ページリンク解析		予定	開発チーム	-	2025/11/23	2025/11/26		-	🔗Confluenceリンク→RELATES_TO	
		グラフ検索API実装		予定	開発チーム	-	2025/11/27	2025/12/01		-	🔍LanceDB KGテーブル検索	
		適応的エンティティ抽出		予定	開発チーム	AI	2025/12/02	2025/12/06		-	⚡キーワードマッチ→LLMフォールバック	
		KG統合テスト		予定	開発チーム	QA	2025/12/07	2025/12/10		-	✅関係性検索・エンティティ抽出検証	
	3. Phase 0A-3: パフォーマンス・品質最適化			計画中	開発チーム	-	2025/12/11	2025/12/20		-	⚡速度向上・検索品質改善	
		評価データセット作成		予定	開発チーム	QA	2025/12/11	2025/12/13		-	📊検索品質評価用データ整備	
		統合重み付け調整		予定	開発チーム	-	2025/12/14	2025/12/17		-	⚖️ベクトル・BM25・KGの最適バランス	
		キャッシュ戦略改善		予定	開発チーム	-	2025/12/18	2025/12/19		-	🚀KGクエリキャッシュ・インデックス最適化	
		統合テスト・ドキュメント		予定	開発チーム	QA	2025/12/20	2025/12/20		-	✅Phase 0A完了検証	
	Stage4: Phase 1-4 - 横断拡張				計画中	開発チーム	Tech Lead	2026/01/06	2026/06/30		genkit-migration-and-expansion-roadmap.md	🔄Jira・マニュアル・BigQuery統合
	1. Phase 1: Jira統合				計画中	開発チーム	-	2026/01/06	2026/02/14		-	🎫チケット管理統合	
		Jira API連携		予定	開発チーム	-	2026/01/06	2026/01/17		-	🔌Jira REST API・JQL検索	
		Jira専用Flow実装		予定	開発チーム	AI	2026/01/18	2026/01/31		-	🤖Jiraチケット解析Flow	
		統合検索UI		予定	開発チーム	UI	2026/02/01	2026/02/10		-	🎨Confluence+Jira統合表示	
		テスト・ドキュメント		予定	開発チーム	QA	2026/02/11	2026/02/14		-	✅Phase 1完了検証	
	2. Phase 2: マニュアル統合				計画中	開発チーム	-	2026/02/15	2026/03/28		-	📖ドキュメント検索統合	
		マニュアルソース連携		予定	開発チーム	-	2026/02/15	2026/02/28		-	📄PDF・Markdown・HTML対応	
		マニュアル専用Flow実装		予定	開発チーム	AI	2026/03/01	2026/03/14		-	🤖マニュアル解析Flow	
		統合検索UI拡張		予定	開発チーム	UI	2026/03/15	2026/03/24		-	🎨3ソース統合表示	
		テスト・ドキュメント		予定	開発チーム	QA	2026/03/25	2026/03/28		-	✅Phase 2完了検証	
	3. Phase 3: BigQuery統合				計画中	開発チーム	-	2026/03/29	2026/05/09		-	📊データ分析統合	
		BigQuery連携		予定	開発チーム	-	2026/03/29	2026/04/11		-	🔌クエリ実行・結果取得	
		データ分析Flow実装		予定	開発チーム	AI	2026/04/12	2026/04/25		-	🤖データ解析・可視化Flow	
		統合検索UI拡張		予定	開発チーム	UI	2026/04/26	2026/05/05		-	🎨4ソース統合表示	
		テスト・ドキュメント		予定	開発チーム	QA	2026/05/06	2026/05/09		-	✅Phase 3完了検証	
	4. Phase 4: 最終統合・最適化				計画中	開発チーム	-	2026/05/10	2026/06/30		-	🎯全体最適化・本番リリース	
		横断検索最適化		予定	開発チーム	-	2026/05/10	2026/05/23		-	⚡4ソース統合クエリ最適化	
		UI/UX最終調整		予定	開発チーム	UI/UX	2026/05/24	2026/06/06		-	🎨ユーザビリティ改善	
		セキュリティ強化		予定	開発チーム	Security	2026/06/07	2026/06/13		-	🔒認証・認可・監査ログ	
		パフォーマンステスト		予定	開発チーム	QA	2026/06/14	2026/06/20		-	📊負荷テスト・最適化	
		本番リリース準備		予定	開発チーム	PM	2026/06/21	2026/06/27		-	📋リリース計画・ドキュメント	
		本番リリース		予定	開発チーム	PM	2026/06/28	2026/06/30		-	🚀全機能本番稼働開始	

